Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_ring_force_sensor_3,-1.45503841600947E-05,-0.00034586662981545,-0.00133798468205445,0,0,0,6.79657634628817E-05,1.32269553838889E-10,8.21009692820913E-12,2.62881491754241E-13,2.53144228524505E-10,9.1509693922259E-12,2.80539793431039E-10,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_ring_force_sensor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_ring_force_sensor_3.STL,,E2镜向RH56DFTP-0R-2/E2镜向指尖传感器SZ-2,l_ring_force_sensor_3,,left_ring_force_sensor_3_joint,fixed,0.0086237,0.052572,-0.0060954,1.5708,1.5025,2.2692,left_ring_2,0,0,0,,,,,,,,,,,,
left_ring_force_sensor_1,6.00203522233E-06,0.000116421389729365,-0.000567426346437278,0,0,0,0.000202794434376476,3.37837011170987E-09,-7.5878752969108E-11,-2.74580423233197E-13,1.9665061826483E-09,-5.52393135574737E-12,5.28129521919666E-09,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_ring_force_sensor_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_ring_force_sensor_1.STL,,E2镜向RH56DFTP-0R-2/E2镜向中节传感-3,l_ring_force_sensor_1,,left_ring_force_sensor_1_joint,fixed,0.012046,0.019649,-0.006651,1.5708,1.5172,1.7829,left_ring_1,0,0,0,,,,,,,,,,,,
left_little_1,0.00219465215955103,0.0127400596467725,-0.00664960556534572,0,0,0,0.0067757106032121,1.13152896112826E-06,-7.34320008847278E-08,-7.19963309968723E-12,5.50274069155489E-07,5.18880133633643E-11,1.17474354144948E-06,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_1.STL,,E2镜向RH56DFTP-0R-2/E2镜向中节组合-1,l_11,a_11,left_little_1_joint,revolute,0.00056467,-0.025916,-0.15365,-1.6755,0,0,base_link,0,0,-1,1,2,0,1,,,,,,,,
left_little_2,-0.00142963521345347,0.0206394357966418,-0.00609976777725474,0,0,0,0.00717678262644169,1.14690869729373E-06,-2.22236755093454E-07,-2.35657996290406E-11,2.66169814325698E-07,-2.53156557773676E-11,1.15053887826121E-06,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_2.STL,,E2镜向RH56DFTP-0R-2/E2镜向小指指尖组件-1,l_12,a_12,left_little_2_joint,revolute,0.0034259,0.032596,-0.00055,0,0,0,left_little_1,0,0,-1,1,2,0,1,,,,,,,,
left_little_force_sensor_2,-1.80617030003938E-05,-0.000118388090762839,-0.000773722865995793,0,0,0,0.00028024674848609,5.3604473912048E-09,-2.90383767216199E-10,4.21250471348326E-12,2.78880843363607E-09,3.60559684736873E-11,8.00957473963412E-09,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_force_sensor_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_force_sensor_2.STL,,E2镜向RH56DFTP-0R-2/E2镜向小指指肚-1,l_little_force_sensor_2,,left_little_force_sensor_2_joint,fixed,0.0064514,0.027683,-0.0061172,1.5708,1.4597,1.2289,left_little_2,0,0,0,,,,,,,,,,,,
left_little_force_sensor_3,-6.37037928365447E-05,-0.000437210531355342,-0.00112816117408027,0,0,0,6.1053667014177E-05,1.11591596284049E-10,1.48923286911394E-11,1.18294492348375E-12,2.17206534673202E-10,8.078835709315E-12,2.52052305203803E-10,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_force_sensor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_force_sensor_3.STL,,E2镜向RH56DFTP-0R-2/E2镜向小指指尖带动-1,l_little_force_sensor_3,,left_little_force_sensor_3_joint,fixed,0.0063973,0.042707,-0.0061154,1.5708,1.4336,2.2761,left_little_2,0,0,0,,,,,,,,,,,,
left_little_force_sensor_1,1.22242688667118E-05,0.000115932853490763,-0.000567426208360044,0,0,0,0.000202794502264302,3.3662161038664E-09,-1.50896082438854E-10,-5.69773684986878E-13,1.97866156369565E-09,-5.50105749422691E-12,5.28129655313475E-09,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_force_sensor_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_little_force_sensor_1.STL,,E2镜向RH56DFTP-0R-2/E2镜向中节传感-1,l_little_force_sensor_1,,left_little_force_sensor_1_joint,fixed,0.012046,0.019649,-0.006651,1.5708,1.4637,1.7829,left_little_1,0,0,0,,,,,,,,,,,,
left_plam_1,-0.00195104283520511,0.000692741082239323,0.0560117433925564,0,0,0,0.205548450388452,0.00021145500266249,-6.95285841496429E-07,-1.62582110639063E-06,0.0001640170234504,-2.5164236951194E-08,9.07294928064753E-05,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_plam_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_plam_1.STL,,E2镜向RH56DFTP-0R-2/E2镜向侧摆齿条-1;E2镜向RH56DFTP-0R-2/E2镜向骨架组件-1;E2镜向RH56DFTP-0R-2/E2镜向RH56-8 驱动器推杆螺丝 四指 （新）-4;E2镜向RH56DFTP-0R-2/E2镜向四代手接插件(6).step-1;E2镜向RH56DFTP-0R-2/E2镜向零件1-3;E2镜向RH56DFTP-0R-2/E2镜向零件1-2;E2镜向RH56DFTP-0R-2/E2镜向RH56-8 驱动器推杆螺丝 四指 （新）-1;E2镜向RH56DFTP-0R-2/E2镜向弯曲齿条-1;E2镜向RH56DFTP-0R-2/E2镜向RH56-8 驱动器推杆螺丝 四指 （新）-3;E2镜向RH56DFTP-0R-2/E2镜向027掌心力控模型1-1;E2镜向RH56DFTP-0R-2/E2镜向力控球轴承-球笼A-2;E2镜向RH56DFTP-0R-2/E2镜向手掌外观0910.stp-1;E2镜向RH56DFTP-0R-2/E2镜向最新027力控版本1-1;E2镜向RH56DFTP-0R-2/E2镜向力控球轴承-球笼A-4;E2镜向RH56DFTP-0R-2/E2镜向垫圈-1;E2镜向RH56DFTP-0R-2/E2镜向027掌心力控模型-1;E2镜向RH56DFTP-0R-2/E2镜向力控球轴承-球笼A-1;E2镜向RH56DFTP-0R-2/E2镜向最新027力控版本2-1;E2镜向RH56DFTP-0R-2/E2镜向最新027力控版本3-1/E2推杆子-1;E2镜向RH56DFTP-0R-2/E2镜向最新027力控版本3-1/E2027力控外壳-1;E2镜向RH56DFTP-0R-2/E2镜向最新027力控版本-1;E2镜向RH56DFTP-0R-2/E2镜向零件1-1;E2镜向RH56DFTP-0R-2/E2镜向力控球轴承-球笼A-3,l_plam,,left_plam_1_joint,fixed,0,0,-0.031,-3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
left_plam_2,-0.0282279108648417,-0.000242127035993855,0.0835826421996247,0,0,0,0.0205046589058927,2.37671048423346E-05,-1.29072575162348E-08,-6.43764479926857E-08,1.27843040563581E-05,9.82907716155009E-08,1.20351729261164E-05,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_plam_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_plam_2.STL,,E2外壳后盖-1,l_plam,,left_plam_2_joint,fixed,0,0,0,0,0,0,left_plam_1,0,0,0,,,,,,,,,,,,
left_plam_force_sensor,-0.00012009333519819,0.000717297413646942,-0.000692889069965077,0,0,0,0.00240886556268154,1.79237847416138E-07,-3.62335250995994E-10,2.06838829667416E-10,5.01887324843563E-07,-4.23537057624356E-10,6.80017237748538E-07,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_plam_force_sensor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RH56E2_L_2025_9_10/meshes/left_plam_force_sensor.STL,,E2镜向RH56DFTP-0R-2/E2镜向掌心定位-1,l_plam_force_sensor,,left_plam_force_sensor_joint,fixed,0.012296,-0.00036819,0.088601,1.5708,0,1.5708,left_plam_1,0,0,0,,,,,,,,,,,,
