Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_index_force_sensor_1,4.50639917341789E-06,0.000116571661332499,-0.000567443126962344,0,0,0,0.00020277926206694,3.38028798502951E-09,-5.04640338896753E-11,-2.15701714440208E-13,1.96412698995832E-09,-5.48195334354602E-12,5.28079732652295E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_index_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_index_force_sensor_1.STL,,中节传感_R_R-5,r_index_force_sensor_1,,right_index_force_sensor_1_joint,fixed,0.012046,0.019649,0.006651,1.5708,1.5351,1.7829,right_index_1,0,0,0,,,,,,,,,,,,
right_middle_1,0.00219417478814517,0.0127409366268324,0.00664941207814897,0,0,0,0.00677619750879919,1.1316149557554E-06,-7.33862743651552E-08,1.021320311632E-11,5.50297969652715E-07,-2.46615051818069E-11,1.17483802522199E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_1.STL,,中节组合_R_R-3,l_7,a_7,right_middle_1_joint,revolute,0.00056467,-0.0171,-0.157,-1.5708,0,0,base_link,0,0,1,1,2,0,1,,,,,,,,
right_middle_2,9.21583803522863E-05,0.0270332758922563,0.00610054154137712,0,0,0,0.0100563900427533,2.58635805719436E-06,-4.53231180080783E-07,-7.60066680661859E-12,4.10296161873934E-07,-7.98220547148821E-11,2.62934430889061E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_2.STL,,中指指尖组合_R_R-1,l_8,a_8,right_middle_2_joint,revolute,0.0034259,0.032596,0.00055,0,0,0,right_middle_1,0,0,1,1,2,0,1,,,,,,,,
right_middle_force_sensor_2,-3.55652627983399E-07,2.88666331397097E-05,-0.000722235489778011,0,0,0,0.00026259331441686,5.0422606271269E-09,3.96627458519253E-13,-3.26041478710841E-14,2.56807850635635E-09,3.5373620870123E-12,7.49563436241948E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_force_sensor_2.STL,,中指指肚_R_R-1,r_middle_force_sensor_2,,right_middle_force_sensor_1_joint,fixed,0.0090859,0.040963,0.0061003,0.37285,1.5708,0,right_middle_2,0,0,0,,,,,,,,,,,,
right_middle_force_sensor_3,6.04731043574169E-08,-0.00036544534557964,-0.00127683945630336,0,0,0,6.64914575467581E-05,1.27227764572837E-10,1.00476590749342E-14,8.5788062829599E-15,2.43691164484047E-10,7.61272996067338E-12,2.75875170563041E-10,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_force_sensor_3.STL,,中指尖传感器_R_R-1,r_middle_force_sensor_3,,right_middle_force_sensor_3_joint,fixed,0.0098294,0.056051,0.0061006,0.67435,1.5708,0,right_middle_2,0,0,0,,,,,,,,,,,,
right_middle_force_sensor_1,3.42843697213185E-07,0.000116657509605197,-0.000567442695803486,0,0,0,0.000202779388301744,3.38208410519618E-09,1.87569574369712E-13,-1.99647221364038E-14,1.96233204624223E-09,-5.48580562274486E-12,5.2807983995112E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_middle_force_sensor_1.STL,,中节传感_R_R-2,r_middle_force_sensor_1,,right_middle_force_sensor_1_joint,fixed,0.012046,0.019649,0.006651,0.21209,1.5708,0,right_middle_1,0,0,0,,,,,,,,,,,,
right_ring_1,0.0021941746524699,0.0127409362160862,0.0066494113506478,0,0,0,0.00677619736014424,1.13161521046633E-06,-7.33862976638617E-08,1.02299251284089E-11,5.50298017624688E-07,-2.46423372586305E-11,1.17483820891763E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_1.STL,,中节组合_R_R-5,l_9,a_9,right_ring_1_joint,revolute,0.00056467,0.0045302,-0.15683,-1.5184,0,0,base_link,0,0,1,1,2,0,1,,,,,,,,
right_ring_2,-0.000532822849603737,0.0253434713553951,0.00609293279305798,0,0,0,0.00927304981123394,2.11107778049034E-06,-3.78350486687325E-07,-4.27279757258275E-10,3.70485385851058E-07,-2.82219849350611E-09,2.14315460259137E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_2.STL,,食指尖组合件_R_R-2,l_10,a_10,right_ring_2_joint,revolute,0.0034259,0.032596,0.00055,0,0,0,right_ring_1,0,0,1,1,2,0,1,,,,,,,,
right_ring_force_sensor_2,-1.52436836102507E-05,0.000205901966578867,-0.000722888420899154,0,0,0,0.00025574845564278,4.79446001367807E-09,1.32867587230573E-10,1.33199694981756E-12,2.44391505492957E-09,-3.05212434039715E-11,7.12570290551657E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_force_sensor_2.STL,,指肚传感器_R_R-3,r_ring_force_sensor_2,,right_ring_force_sensor_2_joint,fixed,0.0081655,0.037446,0.0060795,-1.5708,1.5151,-1.9196,right_ring_2,0,0,0,,,,,,,,,,,,
right_ring_force_sensor_3,1.45479882125935E-05,-0.000345868482895695,-0.00133799622032654,0,0,0,6.79650392240318E-05,1.32268381568451E-10,-8.21005452975136E-12,-2.63862426644721E-13,2.53139744192141E-10,9.15106235580156E-12,2.80536243626591E-10,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_force_sensor_3.STL,,指尖传感器SZ_R_R-2,r_ring_force_sensor_3,,right_ring_force_sensor_3_joint,fixed,0.0086237,0.052572,0.0060954,-1.5708,1.5025,-0.87237,right_ring_2,0,0,0,,,,,,,,,,,,
right_ring_force_sensor_1,-5.90327958141946E-06,0.000116509445804644,-0.000567443259521558,0,0,0,0.00020277922338036,3.37799540185096E-09,7.60796091703614E-11,2.73854397842958E-13,1.96641957767428E-09,-5.47947431188337E-12,5.28079735826682E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_ring_force_sensor_1.STL,,中节传感_R_R-3,r_ring_force_sensor_1,,right_ring_force_sensor_1_joint,fixed,0.012046,0.019649,0.006651,-1.5708,1.5172,-1.3587,right_ring_1,0,0,0,,,,,,,,,,,,
right_little_1,0.00219418424084009,0.0127409391731467,0.00664940009923338,0,0,0,0.00677618629478943,1.13161476879441E-06,-7.33861803205535E-08,9.70201262735945E-12,5.50297118553786E-07,-2.47668324336033E-11,1.17483808711618E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_1.STL,,中节组合_R_R-1,l_11,a_11,right_little_1_joint,revolute,0.00056467,0.025916,-0.15365,-1.4661,0,0,base_link,0,0,1,1,2,0,1,,,,,,,,
right_little_2,-0.00142962337361717,0.0206390058396336,0.00609937281410202,0,0,0,0.00717697630300511,1.14693860048387E-06,-2.22233992378121E-07,3.68292076162166E-11,2.66181829597843E-07,2.04789199919049E-11,1.15056365098134E-06,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_2.STL,,小指指尖组件_R_R-1,l_12,a_12,right_little_2_joint,revolute,0.0034259,0.032596,0.00055,0,0,0,right_little_1,0,0,1,1,2,0,1,,,,,,,,
right_little_force_sensor_2,1.83850807690678E-05,-0.000118792499944682,-0.000773536639654265,0,0,0,0.000280265363825451,5.36105565367507E-09,2.90871023858778E-10,-4.23704440233307E-12,2.78924633862049E-09,3.60734545957643E-11,8.01055296833177E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_force_sensor_2.STL,,小指指肚_R_R-2,r_little_force_sensor_2,,right_little_force_sensor_2_joint,fixed,0.0064512,0.027683,0.0061172,-1.5708,1.4597,-1.9127,right_little_2,0,0,0,,,,,,,,,,,,
right_little_force_sensor_3,6.36863053955425E-05,-0.00043723677420851,-0.00112814037373135,0,0,0,6.10539921684107E-05,1.11592356002466E-10,-1.48925479775259E-11,-1.18387481927138E-12,2.17209112811676E-10,8.07880135891959E-12,2.52055535156649E-10,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_force_sensor_3.STL,,小指指尖带动_R_R-1,r_little_force_sensor_3,,right_little_force_sensor_3_joint,fixed,0.0063972,0.042707,0.0061154,-1.5708,1.4336,-0.86551,right_little_2,0,0,0,,,,,,,,,,,,
right_little_force_sensor_1,-1.21300809558696E-05,0.000116026903212899,-0.000567442994249934,0,0,0,0.000202779290224811,3.3658199564233E-09,1.51080971417152E-10,5.66657100478414E-13,1.97859528185445E-09,-5.45672948532718E-12,5.28079755559196E-09,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2025_9_11/meshes/right_little_force_sensor_1.STL,,中节传感_R_R-1,r_little_force_sensor_1,,right_little_force_sensor_1_joint,fixed,0.012046,0.019649,0.006651,-1.5708,1.4637,-1.3587,right_little_1,0,0,0,,,,,,,,,,,,
