Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_middle_2,-9.24135364655104E-05,0.0270345152816558,0.00610059049321496,0,0,0,0.0100570641676375,2.58658045501346E-06,4.53262710230316E-07,5.55107506223743E-12,4.10327347278853E-07,-8.43741266162475E-12,2.62954290013629E-06,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_middle_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_middle_2.STL,,镜向RH56DFTP-0R-2/镜向中指指尖组合-1,坐标系8,基准轴8,left_middle_2_joint,revolute,-0.0034259,0.032596,0.00055,0,0,0,left_middle_1,0,0,1,10,1,0,1,,,,,,,,
middle_force_sensor_2,6.77351601335863E-07,2.94313228783732E-05,-0.000722425776846891,0,0,0,0.000262573593923131,5.04148765936938E-09,1.87053180733141E-13,-1.92198399914336E-14,2.56777987860697E-09,3.47150599586572E-12,7.49457837348363E-09,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/middle_force_sensor_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/middle_force_sensor_2.STL,,镜向RH56DFTP-0R-2/镜向中指指肚-1,坐标系20,,middle_force_sensor_2_joint,fixed,-0.009086,0.040962,0.0061003,1.8942,-1.5708,-1.5214,left_middle_2,0,0,0,,,,,,,,,,,,
middle_force_sensor_3,-8.06940798625533E-08,-0.000365444698807449,-0.0012768401530425,0,0,0,6.64914272946033E-05,1.27227716200634E-10,-8.96643675852261E-15,-8.77104798931372E-15,2.43691020872239E-10,7.61276541489738E-12,2.75875028961867E-10,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/middle_force_sensor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/middle_force_sensor_3.STL,,镜向RH56DFTP-0R-2/镜向中指尖传感器-1,坐标系28,,middle_force_sensor_3_joint,fixed,-0.0098294,0.056051,0.0061006,0.84662,-1.5708,-1.521,left_middle_2,0,0,0,,,,,,,,,,,,
left_ring_1,-0.0021946507104972,0.0127400598730178,0.00664960488600091,0,0,0,0.00677571168959291,1.13152930818392E-06,7.34320393902882E-08,-7.09830398426667E-12,5.5027409300137E-07,-5.18112001740641E-11,1.17474396570232E-06,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_ring_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_ring_1.STL,,镜向RH56DFTP-0R-2/镜向中节组合-4,坐标系9,基准轴9,left_ring_1_joint,revolute,-0.0045302,0.00056467,0.15683,1.6232,0,-1.5708,base_link,0,0,1,10,1,0,1,,,,,,,,
ring_force_sensor_1,6.00203522563292E-06,0.000116421389792051,-0.000567426346187727,0,0,0,0.000202794434376474,3.37837011170993E-09,-7.58787529691318E-11,-2.74580424569921E-13,1.96650618264834E-09,-5.5239313808051E-12,5.28129521919661E-09,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/ring_force_sensor_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/ring_force_sensor_1.STL,,镜向RH56DFTP-0R-2/镜向中节传感-3,坐标系21,,ring_force_sensor_1_joint,fixed,-0.012046,0.019649,0.006651,-1.5708,-1.5172,1.3587,left_ring_1,0,0,0,,,,,,,,,,,,
left_ring_2,0.000533229899902066,0.0253408208152093,0.00609266034565059,0,0,0,0.00927387781793577,2.1115233491356E-06,3.78378772885265E-07,4.17646101514074E-10,3.70467946466243E-07,-2.78928238418106E-09,2.14357084931758E-06,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_ring_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_ring_2.STL,,镜向RH56DFTP-0R-2/镜向食指尖组合件-2,坐标系10,基准轴10,left_ring_2_joint,revolute,-0.0034259,0.032596,0.00055,0,0,0,left_ring_1,0,0,1,10,1,0,1,,,,,,,,
ring_force_sensor_2,1.52347834254662E-05,0.000205944196161212,-0.000722888366336771,0,0,0,0.000255748190883603,4.79445247032036E-09,-1.3285644247951E-10,-1.33138092915199E-12,2.4439035683217E-09,-3.05245097947678E-11,7.12568419691745E-09,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/ring_force_sensor_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/ring_force_sensor_2.STL,,镜向RH56DFTP-0R-2/镜向指肚传感器-2,坐标系22,,ring_force_sensor_2_joint,fixed,-0.0081655,0.037446,0.0060795,-1.5708,-1.5151,1.9196,left_ring_2,0,0,0,,,,,,,,,,,,
ring_force_sensor_3,-1.45503931299751E-05,-0.000345866634044262,-0.00133798468297447,0,0,0,6.79657632016268E-05,1.32269553548932E-10,8.21009755146655E-12,2.62881721966879E-13,2.53144226946973E-10,9.1509694836668E-12,2.80539791710119E-10,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/ring_force_sensor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/ring_force_sensor_3.STL,,镜向RH56DFTP-0R-2/镜向指尖传感器SZ-2,坐标系29,,ring_force_sensor_3_joint,fixed,-0.0086237,0.052572,0.0060954,-1.5708,-1.5025,0.87237,left_ring_2,0,0,0,,,,,,,,,,,,
left_little_1,-0.00219465215954852,0.0127400596467728,0.00664960556534563,0,0,0,0.00677571060321215,1.13152896112829E-06,7.34320008846131E-08,-7.19963310286909E-12,5.50274069155466E-07,-5.18880133640373E-11,1.17474354144948E-06,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_little_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_little_1.STL,,镜向RH56DFTP-0R-2/镜向中节组合-1,坐标系11,基准轴11,left_little_1_joint,revolute,-0.025916,0.00056467,0.15365,1.6755,0,-1.5708,base_link,0,0,1,10,1,0,1,,,,,,,,
little_force_sensor_1,1.22242688521124E-05,0.00011593285335415,-0.000567426208209446,0,0,0,0.000202794502264301,3.36621610386636E-09,-1.50896082439178E-10,-5.69773688179133E-13,1.97866156369579E-09,-5.50105752380674E-12,5.28129655313466E-09,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/little_force_sensor_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/little_force_sensor_1.STL,,镜向RH56DFTP-0R-2/镜向中节传感-1,坐标系23,,little_force_sensor_1_joint,fixed,-0.012046,0.019649,0.006651,-1.5708,-1.4637,1.3587,left_little_1,0,0,0,,,,,,,,,,,,
left_little_2,0.00142964313557047,0.0206393899153543,0.00609979950240341,0,0,0,0.0071767941406453,1.14691427718982E-06,2.22236329962831E-07,-2.32987903099089E-11,2.66171126920969E-07,2.77893420116946E-11,1.15054232943374E-06,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_little_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/left_little_2.STL,,镜向RH56DFTP-0R-2/镜向小指指尖组件-1,坐标系12,基准轴12,left_little_2_joint,revolute,-0.0034259,0.032596,0.00055,0,0,0,left_little_1,0,0,1,10,1,0,1,,,,,,,,
little_force_sensor_2,-1.80617029852947E-05,-0.000118388090627967,-0.000773722865239856,0,0,0,0.000280246748486092,5.36044739120519E-09,-2.90383767214614E-10,4.21250470372021E-12,2.78880843363446E-09,3.60559683863613E-11,8.00957473963534E-09,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/little_force_sensor_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/little_force_sensor_2.STL,,镜向RH56DFTP-0R-2/镜向小指指肚-1,坐标系24,,little_force_sensor_2_joint,fixed,-0.0064514,0.027683,0.0061172,-1.5708,-1.4597,1.9127,left_little_2,0,0,0,,,,,,,,,,,,
little_force_sensor_3,-6.37037929382966E-05,-0.000437210532086563,-0.00112816117341033,0,0,0,6.10536670141782E-05,1.11591596284104E-10,1.4892328691308E-11,1.18294492342107E-12,2.17206534672885E-10,8.0788357087695E-12,2.52052305204087E-10,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/little_force_sensor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_with_force_sensor/meshes/little_force_sensor_3.STL,,镜向RH56DFTP-0R-2/镜向小指指尖带动-1,坐标系30,,little_force_sensor_3_joint,fixed,-0.0063973,0.042707,0.0061154,-1.5708,-1.4336,0.86551,left_little_2,0,0,0,,,,,,,,,,,,
